iter	Passed	Remaining
924	5983	485
925	5989	478
926	5996	472
927	6002	465
928	6008	459
929	6016	452
930	6022	446
931	6029	439
932	6034	433
933	6040	426
934	6047	420
935	6052	413
936	6059	407
937	6065	400
938	6070	394
939	6077	387
940	6083	381
941	6088	374
942	6095	368
943	6101	361
944	6107	355
945	6116	349
946	6122	342
947	6129	336
948	6134	329
949	6140	323
950	6146	316
951	6152	310
952	6158	303
953	6164	297
954	6169	290
955	6176	284
956	6182	277
957	6188	271
958	6194	264
959	6200	258
960	6206	251
961	6212	245
962	6217	238
963	6224	232
964	6232	226
965	6238	219
966	6245	213
967	6250	206
968	6258	200
969	6264	193
970	6269	187
971	6276	180
972	6282	174
973	6288	167
974	6297	161
975	6305	155
976	6311	148
977	6317	142
978	6324	135
979	6331	129
980	6337	122
981	6343	116
982	6348	109
983	6356	103
984	6362	96
985	6368	90
986	6375	83
987	6381	77
988	6388	71
989	6393	64
990	6399	58
991	6406	51
992	6411	45
993	6417	38
994	6425	32
995	6431	25
996	6439	19
997	6444	12
998	6451	6
999	6456	0
